what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1292406015754
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1292406019241
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1292406019367
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1292406019682
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1292406019874
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1292406020210
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordNext",1292406020514
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1292406021874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292406033380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292406041612
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292406042182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292406053171
opened,view,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.views.LogCatView",1292406058128
opened,view,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.views.DeviceView",1292406058233
opened,view,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1292406058405
opened,view,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.views.ThreadView",1292406058452
activated,perspective,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.Perspective",1292406058485
activated,view,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms.views.ThreadView",1292406058502
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1292406058521
